Alternative Customer Number,Category,Customer Type,Salutation,First Name,Surname,Billing Address,Billing Address2,Billing Suburb,Billing State,Billing Postal (Zip) Code,Billing Country,Phone Number,Mobile Number,Fax Number,Email Address,Company,Business Name Type,Company Trading Name,ABN,ACN,Notes/Feedbacks,Is Home Address same as Billing Address?,Home Address,Home Address2,Home Suburb,Home State,Home Postal (Zip) Code,Home Country,Billing Email,Account Name,Authentication Type,Authentication Number,Date of Birth,Referee Name,Referee Contact Number,Referee Relationship to Tenant,Enable Internet Access?,Internet Password,Secondary Customer Name,Secondary Phone Number,Secondary Mobile Number,Secondary Fax Number,Secondary Email,Life Support Status,Purchase Order,Contract Start Date,Contract Term,Overdue Interest % (Base Rate) ,Overdue Interest % (Additional) ,Early Payment Discount,Early Payment Discount Rate,Payment Term Method ,Payment Term Number of Days ,Card First Name,Card Last Name,Card Type,Card No.,Card Start Date,Card Expiry Date
,R,Tenant,Mr,Willow,Rodriguez,396 Aussie Bush Terrace, ,YARRAVILLE WEST,VIC,3013,Australia,0348646891,0395785351, ,WillowRodriguez@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Harrison,Baker,916 Coastal Breeze Green, ,NEWPORT,VIC,3015,Australia,0347711877,0333346894, ,HarrisonBaker@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Madison,White,762 Outback Street, ,SOUTH KINGSVILLE,VIC,3015,Australia,0379691112,0311124694, ,MadisonWhite@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Michael,Cooper,597 Native Garden Green, ,SPOTSWOOD,VIC,3015,Australia,0377295814,0321133783, ,MichaelCooper@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ethan,White,213 Great Barrier Reef Drive, ,WILLIAMSTOWN,VIC,3016,Australia,0345465568,0314958894, ,EthanWhite@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Charlie,Cox,691 Great Ocean Road Place, ,WILLIAMSTOWN NORTH,VIC,3016,Australia,0316422429,0364598431, ,CharlieCox@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Jordan,Bell,547 Golden Sand Lane, ,ALTONA,VIC,3018,Australia,0398575757,0359271852, ,JordanBell@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Alexander,Yang,594 Golden Beach Street, ,SEAHOLME,VIC,3018,Australia,0356373278,0351883119, ,AlexanderYang@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ava,Thomas,478 Kangaroo Crescent, ,BRAYBROOK,VIC,3019,Australia,0342964272,0318315158, ,AvaThomas@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Lucas,Bell,228 Australian Wildlife Alley, ,BRAYBROOK NORTH,VIC,3019,Australia,0317347646,0319268383, ,LucasBell@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Thomas,Smith,562 Bushfire Parade, ,ROBINSON,VIC,3019,Australia,0322827972,0326292721, ,ThomasSmith@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Nate,Evans,639 Seaside Terrace, ,ALBION,VIC,3020,Australia,0375286632,0315765986, ,NateEvans@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Hannah,Bell,793 Tasmanian Devil Way, ,GLENGALA,VIC,3020,Australia,0338729658,0336372958, ,HannahBell@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Lucy,Wong,738 Surfside Way, ,SUNSHINE,VIC,3020,Australia,0371131157,0319812886, ,LucyWong@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ruby,Lee,413 Blue Mountains Court, ,SUNSHINE NORTH,VIC,3020,Australia,0323532142,0391765159, ,RubyLee@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Isla,Gray,569 Hidden Cove Place, ,SUNSHINE WEST,VIC,3020,Australia,0366842326,0357524484, ,IslaGray@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Willow,Cox,988 Byron Bay Grove, ,ALBANVALE,VIC,3021,Australia,0348555517,0336352853, ,WillowCox@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Logan,Green,235 Murray River Court, ,KEALBA,VIC,3021,Australia,0398855256,0391677233, ,LoganGreen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Harrison,Hill,873 Australia Fair Grove, ,KINGS PARK,VIC,3021,Australia,0325122232,0312655587, ,HarrisonHill@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Benjamin,Lewis,951 Golden Beach Street, ,ST ALBANS,VIC,3021,Australia,0382435367,0379647796, ,BenjaminLewis@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Jesse,Brown,342 Barossa Parade, ,ARDEER,VIC,3022,Australia,0372955711,0399874246, ,JesseBrown@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Toby,Martin,193 Wattle Street, ,DEER PARK EAST,VIC,3022,Australia,0363563911,0399459777, ,TobyMartin@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Sophie,Thomas,799 Summer Breeze Court, ,BURNSIDE,VIC,3023,Australia,0392593454,0331932549, ,SophieThomas@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Emily,Brown,496 Uluru Crescent, ,BURNSIDE HEIGHTS,VIC,3023,Australia,0396217954,0339458628, ,EmilyBrown@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Harper,Nguyen,467 Wide Horizon Street, ,CAIRNLEA,VIC,3023,Australia,0391676427,0332848382, ,HarperNguyen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Jack,Baker,738 Gumtree Way, ,CAROLINE SPRINGS,VIC,3023,Australia,0342241353,0345939666, ,JackBaker@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Aria,Garcia,926 Riverbank Path, ,DEER PARK,VIC,3023,Australia,0386691144,0339531344, ,AriaGarcia@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Emily,Cooper,848 Wide Horizon Street, ,DEER PARK NORTH,VIC,3023,Australia,0393972122,0361744432, ,EmilyCooper@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Patrick,Turner,589 Wilderness Parade, ,RAVENHALL,VIC,3023,Australia,0338663753,0336915415, ,PatrickTurner@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Isabella,Smith,465 Sunflower Street, ,FIELDSTONE,VIC,3024,Australia,0387483877,0329982765, ,IsabellaSmith@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ava,Murray,784 Federation Close, ,MAMBOURIN,VIC,3024,Australia,0398373411,0349746179, ,AvaMurray@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ivy,Grant,368 Golden Beach Street, ,MANOR LAKES,VIC,3024,Australia,0342152886,0371355359, ,IvyGrant@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Joshuan,Williams,278 Didgeridoo Lane, ,MOUNT COTTRELL,VIC,3024,Australia,0365631553,0356218351, ,JoshuanWilliams@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Willow,Nguyen,856 Australian Open Place, ,WYNDHAM VALE,VIC,3024,Australia,0348586221,0381792722, ,WillowNguyen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Mitchell,Adams,471 Coastal Breeze Green, ,ALTONA EAST,VIC,3025,Australia,0373747447,0384873558, ,MitchellAdams@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Emily,Baker,715 Whitsunday Avenue, ,ALTONA GATE,VIC,3025,Australia,0329615337,0335554996, ,EmilyBaker@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ella,Patel,767 Outback Grove, ,ALTONA NORTH,VIC,3025,Australia,0365733832,0342221727, ,EllaPatel@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Jesse,Rodriguez,721 Mountain View Terrace, ,DERRIMUT,VIC,3026,Australia,0357267659,0368944365, ,JesseRodriguez@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,James,Davis,396 Great Dividing Range Street, ,LAVERTON NORTH,VIC,3026,Australia,0327645221,0342491517, ,JamesDavis@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Charlie,Chen,478 Great Dividing Range Street, ,LAVERTON RAAF,VIC,3027,Australia,0347578119,0351343211, ,CharlieChen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Leo,Patel,515 Australian Wildlife Alley, ,WILLIAMS LANDING,VIC,3027,Australia,0396629797,0371919975, ,LeoPatel@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Jack,Mitchell,395 Barbecue Avenue, ,WILLIAMS RAAF,VIC,3027,Australia,0366828985,0336318141, ,JackMitchell@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Blake,Taylor,213 Wattle Street, ,ALTONA MEADOWS,VIC,3028,Australia,0381315187,0394921995, ,BlakeTaylor@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Xavier,Garcia,398 Tasmanian Devil Way, ,LAVERTON,VIC,3028,Australia,0343578555,0383482172, ,XavierGarcia@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Chloe,Thomas,582 Coastal Breeze Green, ,SEABROOK,VIC,3028,Australia,0391459361,0394767725, ,ChloeThomas@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Matilda,Kumar,186 Tasmanian Devil Way, ,HOPPERS CROSSING,VIC,3029,Australia,0345124922,0381887153, ,MatildaKumar@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Xavier,Chen,357 Wildlife Street, ,TARNEIT,VIC,3029,Australia,0337431297,0324882845, ,XavierChen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Georgia,Miller,152 Coastal Breeze Green, ,TRUGANINA,VIC,3029,Australia,0324614555,0396139289, ,GeorgiaMiller@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Benjamin,Campbell,124 Australian Wildlife Alley, ,CHARTWELL,VIC,3030,Australia,0393586668,0338459557, ,BenjaminCampbell@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Michael,Baker,672 Alice Springs Parade, ,COCOROC,VIC,3030,Australia,0371629598,0342111145, ,MichaelBaker@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Annabelle,Williams,432 Quandong Alley, ,POINT COOK,VIC,3030,Australia,0386686746,0311698737, ,AnnabelleWilliams@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Michael,Miller,836 Mountain View Terrace, ,QUANDONG,VIC,3030,Australia,0381391169,0367252974, ,MichaelMiller@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Olivia,Brooks,333 Bondi Terrace, ,WERRIBEE,VIC,3030,Australia,0329245516,0392896753, ,OliviaBrooks@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Isla,Nguyen,813 Great Barrier Reef Drive, ,WERRIBEE SOUTH,VIC,3030,Australia,0354531586,0334351222, ,IslaNguyen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Madison,Li,757 Reef Terrace, ,FLEMINGTON,VIC,3031,Australia,0314362236,0317845788, ,MadisonLi@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Caleb,Li,929 Great Barrier Reef Drive, ,KENSINGTON,VIC,3031,Australia,0332347824,0373326339, ,CalebLi@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Archer,Wong,578 Wildflower Track, ,ASCOT VALE,VIC,3032,Australia,0318421166,0326985874, ,ArcherWong@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Daniel,Yang,511 Seaside Terrace, ,HIGHPOINT CITY,VIC,3032,Australia,0314178585,0356645644, ,DanielYang@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Georgia,Jackson,819 Harbour Bridge Track, ,MARIBYRNONG,VIC,3032,Australia,0341728978,0329215952, ,GeorgiaJackson@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Cooper,Baker,578 Golden Sand Lane, ,TRAVANCORE,VIC,3032,Australia,0371228364,0324299591, ,CooperBaker@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ivy,Gray,126 Australian Dream Lane, ,KEILOR EAST,VIC,3033,Australia,0355674957,0363478481, ,IvyGray@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Charlie,Rodriguez,668 Harbour Bridge Track, ,AVONDALE HEIGHTS,VIC,3034,Australia,0323155269,0335691399, ,CharlieRodriguez@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Lucas,Li,739 Gumtree Way, ,KEILOR,VIC,3036,Australia,0393581179,0369244189, ,LucasLi@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ava,Lewis,587 Boomerang Road, ,KEILOR NORTH,VIC,3036,Australia,0355483139,0374637136, ,AvaLewis@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Thomas,Hall,538 Mountain View Terrace, ,CALDER PARK,VIC,3037,Australia,0335716164,0337112833, ,ThomasHall@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Max,Turner,733 Koala Path, ,DELAHEY,VIC,3037,Australia,0326172326,0371759954, ,MaxTurner@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ivy,Jones,659 Riverbank Path, ,HILLSIDE,VIC,3037,Australia,0366625258,0379536882, ,IvyJones@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Lucy,Bell,587 Byron Bay Grove, ,PLUMPTON,VIC,3037,Australia,0394739198,0384184836, ,LucyBell@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Blake,Brown,534 Blue Mountains Court, ,SYDENHAM,VIC,3037,Australia,0365788569,0377762768, ,BlakeBrown@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Cooper,Rodriguez,949 Sunrise Green, ,TAYLORS HILL,VIC,3037,Australia,0366378175,0344645823, ,CooperRodriguez@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ethan,Jackson,343 Ayers Rock Track, ,KEILOR DOWNS,VIC,3038,Australia,0342862171,0384355386, ,EthanJackson@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Mason,Murray,857 Australian Open Place, ,KEILOR LODGE,VIC,3038,Australia,0347832517,0318438293, ,MasonMurray@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Samuel,Turner,942 Gold Coast Track, ,TAYLORS LAKES,VIC,3038,Australia,0387696857,0313475849, ,SamuelTurner@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Lucas,Li,933 Golden Gate Street, ,WATERGARDENS,VIC,3038,Australia,0372272763,0377977993, ,LucasLi@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Sophie,Hooper,669 Blue Mountains Court, ,MOONEE PONDS,VIC,3039,Australia,0372141839,0318997322, ,SophieHooper@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Michael,Hooper,829 Didgeridoo Lane, ,ABERFELDIE,VIC,3040,Australia,0377596585,0386963161, ,MichaelHooper@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Jesse,Lewis,864 Australian Dream Lane, ,ESSENDON,VIC,3040,Australia,0352447265,0376185216, ,JesseLewis@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Willow,Wong,991 Bondi Terrace, ,ESSENDON WEST,VIC,3040,Australia,0325228439,0339979267, ,WillowWong@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Xavier,Patel,962 Surf Coast Avenue, ,CROSS KEYS,VIC,3041,Australia,0345363518,0324513739, ,XavierPatel@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Charlotte,Rodriguez,179 Desert Oasis Place, ,ESSENDON FIELDS,VIC,3041,Australia,0344118633,0396121453, ,CharlotteRodriguez@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
